Machine Module,SVA1015X,3.2.2.6.0R1
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+0.000000000E+00
Attenuation,20.000000,Auto
Sweep Time,294000.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.500000000E+09
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Normal,Off,Off,Off,Off,Off,Off
Marker on Trace,A,A,,,,,,
Marker Read Out,Frequency,Frequency,,,,,,
594000000,-53.77
596000000,-53.40
598000000,-48.36
600000000,-45.04
602000000,-47.67
604000000,-52.64
606000000,-54.85
608000000,-54.18
610000000,-52.77
612000000,-53.71
614000000,-53.62
616000000,-54.51
618000000,-56.80
620000000,-55.15
622000000,-52.44
624000000,-53.50
626000000,-54.75
628000000,-52.88
630000000,-53.22
632000000,-54.43
634000000,-52.05
636000000,-48.03
638000000,-38.27
640000000,-34.89
642000000,-35.74
644000000,-47.67
646000000,-50.21
648000000,-51.01
650000000,-53.68
652000000,-54.35
654000000,-52.89
656000000,-54.29
658000000,-52.38
660000000,-52.00
662000000,-54.18
664000000,-53.73
666000000,-54.27
668000000,-54.27
670000000,-55.85
672000000,-51.88
674000000,-54.47
676000000,-53.98
678000000,-50.39
680000000,-47.23
682000000,-48.07
684000000,-52.70
686000000,-52.15
688000000,-53.78
690000000,-53.03
692000000,-54.02
694000000,-52.56
696000000,-51.94
698000000,-51.53
700000000,-51.79
702000000,-50.93
704000000,-51.30
706000000,-53.81
708000000,-52.64
710000000,-51.19
712000000,-53.56
714000000,-51.32
716000000,-52.39
718000000,-52.46
720000000,-47.04
722000000,-50.66
724000000,-50.93
726000000,-50.17
728000000,-50.19
730000000,-50.97
732000000,-52.34
734000000,-53.83
736000000,-50.72
738000000,-52.64
740000000,-51.71
742000000,-51.17
744000000,-51.73
746000000,-51.54
748000000,-52.28
750000000,-52.91
752000000,-53.44
754000000,-48.42
756000000,-51.37
758000000,-50.25
760000000,-47.49
762000000,-52.97
764000000,-50.27
766000000,-49.91
768000000,-52.60
770000000,-53.27
772000000,-50.46
774000000,-50.71
776000000,-50.85
778000000,-51.76
780000000,-50.64
782000000,-49.51
784000000,-51.92
786000000,-51.48
788000000,-51.67
790000000,-52.13
792000000,-49.40
794000000,-51.47
796000000,-49.80
798000000,-49.91
800000000,-44.27
802000000,-51.03
804000000,-51.23
806000000,-51.73
808000000,-50.45
810000000,-53.54
812000000,-49.30
814000000,-49.52
816000000,-48.13
818000000,-50.27
820000000,-48.02
822000000,-50.88
824000000,-50.31
826000000,-47.11
828000000,-45.03
830000000,-44.60
832000000,-43.27
834000000,-40.35
836000000,-38.68
838000000,-26.07
840000000,-24.30
842000000,-24.87
844000000,-36.46
846000000,-37.88
848000000,-42.73
850000000,-45.81
852000000,-45.86
854000000,-45.96
856000000,-49.04
858000000,-46.50
860000000,-48.35
862000000,-49.22
864000000,-48.23
866000000,-49.46
868000000,-51.55
870000000,-49.19
872000000,-50.00
874000000,-51.14
876000000,-49.77
878000000,-49.38
880000000,-47.94
882000000,-51.75
884000000,-52.27
886000000,-48.07
888000000,-49.17
890000000,-52.84
892000000,-52.31
894000000,-52.64
896000000,-48.20
898000000,-53.28
900000000,-51.77
902000000,-51.75
904000000,-50.76
906000000,-51.19
908000000,-53.13
910000000,-52.20
912000000,-52.11
914000000,-52.89
916000000,-53.24
918000000,-52.35
920000000,-50.52
922000000,-50.19
924000000,-50.66
926000000,-51.97
928000000,-51.73
930000000,-52.38
932000000,-51.24
934000000,-51.88
936000000,-50.74
938000000,-51.97
940000000,-50.26
942000000,-50.03
944000000,-50.94
946000000,-52.20
948000000,-51.47
950000000,-54.95
952000000,-52.86
954000000,-52.60
956000000,-50.74
958000000,-50.70
960000000,-48.71
962000000,-51.00
964000000,-53.08
966000000,-53.61
968000000,-51.95
970000000,-53.60
972000000,-51.11
974000000,-51.72
976000000,-52.40
978000000,-51.52
980000000,-51.57
982000000,-52.14
984000000,-50.62
986000000,-53.36
988000000,-53.77
990000000,-53.71
992000000,-53.05
994000000,-48.56
996000000,-51.65
998000000,-50.18
1000000000,-49.14
1002000000,-50.48
1004000000,-53.83
1006000000,-52.98
1008000000,-53.21
1010000000,-53.55
1012000000,-53.19
1014000000,-52.12
1016000000,-51.19
1018000000,-50.89
1020000000,-51.01
1022000000,-51.59
1024000000,-52.25
1026000000,-52.71
1028000000,-52.53
1030000000,-51.85
1032000000,-51.21
1034000000,-50.56
1036000000,-51.61
1038000000,-40.71
1040000000,-40.42
1042000000,-42.64
1044000000,-54.09
1046000000,-50.76
1048000000,-52.56
1050000000,-51.64
1052000000,-52.79
1054000000,-49.41
1056000000,-52.27
1058000000,-50.95
1060000000,-53.86
1062000000,-50.09
1064000000,-51.35
1066000000,-52.69
1068000000,-52.50
1070000000,-52.39
1072000000,-53.25
1074000000,-52.50
1076000000,-51.51
1078000000,-48.01
1080000000,-44.88
1082000000,-47.29
1084000000,-51.26
1086000000,-53.01
1088000000,-52.39
1090000000,-52.84
1092000000,-54.19
1094000000,-53.57
1096000000,-51.48
1098000000,-55.15
1100000000,-52.62
1102000000,-51.63
1104000000,-51.51
1106000000,-55.30
1108000000,-52.96
1110000000,-52.20
1112000000,-50.81
1114000000,-52.00
1116000000,-52.80
1118000000,-50.55
1120000000,-49.22
1122000000,-50.19
1124000000,-50.80
1126000000,-50.59
1128000000,-52.08
1130000000,-52.94
1132000000,-53.71
1134000000,-52.50
1136000000,-49.89
1138000000,-53.42
1140000000,-52.39
1142000000,-50.78
1144000000,-52.38
1146000000,-51.95
1148000000,-52.74
1150000000,-52.20
1152000000,-51.03
1154000000,-52.08
1156000000,-51.15
1158000000,-54.23
1160000000,-49.62
1162000000,-50.59
1164000000,-51.87
1166000000,-51.15
1168000000,-51.40
1170000000,-49.98
1172000000,-52.45
1174000000,-52.44
1176000000,-49.56
1178000000,-51.80
1180000000,-50.85
1182000000,-52.09
1184000000,-50.84
1186000000,-52.61
1188000000,-50.04
1190000000,-50.81
1192000000,-50.59
1194000000,-52.32
1196000000,-49.34
1198000000,-50.85
1200000000,-47.79
1202000000,-48.12
1204000000,-52.22
1206000000,-50.08
1208000000,-50.56
1210000000,-50.26
1212000000,-49.01
1214000000,-50.74
1216000000,-51.75
1218000000,-48.23
1220000000,-48.98
1222000000,-48.31
1224000000,-50.26
1226000000,-48.15
1228000000,-49.26
1230000000,-48.70
1232000000,-49.52
1234000000,-51.38
1236000000,-50.78
1238000000,-47.63
1240000000,-42.79
1242000000,-47.08
1244000000,-50.31
1246000000,-48.52
1248000000,-50.37
1250000000,-48.91
1252000000,-50.56
1254000000,-48.46
1256000000,-50.48
1258000000,-50.89
1260000000,-47.27
1262000000,-49.16
1264000000,-50.81
1266000000,-48.79
1268000000,-49.00
1270000000,-48.85
1272000000,-47.97
1274000000,-50.44
1276000000,-46.74
1278000000,-42.88
1280000000,-43.30
1282000000,-43.21
1284000000,-47.84
1286000000,-48.70
1288000000,-47.55
1290000000,-47.79
1292000000,-46.09
1294000000,-48.38
1296000000,-49.11
1298000000,-46.54
1300000000,-45.38
1302000000,-48.47
1304000000,-48.10
1306000000,-45.45
1308000000,-45.54
1310000000,-45.98
1312000000,-46.26
1314000000,-46.39
1316000000,-45.12
1318000000,-43.21
1320000000,-42.19
1322000000,-45.38
1324000000,-45.59
1326000000,-39.08
1328000000,-38.45
1330000000,-33.89
1332000000,-33.46
1334000000,-33.58
1336000000,-34.72
1338000000,-35.59
1340000000,-40.88
1342000000,-44.70
1344000000,-48.10
1346000000,-45.36
1348000000,-45.67
1350000000,-42.70
1352000000,-46.98
1354000000,-47.73
1356000000,-45.21
1358000000,-46.78
1360000000,-44.74
1362000000,-46.06
1364000000,-47.39
1366000000,-47.31
1368000000,-45.11
1370000000,-46.29
1372000000,-48.06
1374000000,-44.86
1376000000,-48.12
1378000000,-45.53
1380000000,-47.02
1382000000,-46.64
1384000000,-47.29
1386000000,-47.21
1388000000,-46.95
1390000000,-45.60
1392000000,-47.46
1394000000,-49.04
1396000000,-47.35
1398000000,-45.08
1400000000,-46.29
1402000000,-47.74
1404000000,-48.17
1406000000,-46.81
1408000000,-47.13
1410000000,-46.60
1412000000,-48.75
1414000000,-46.94
1416000000,-47.03
1418000000,-47.56
1420000000,-47.84
1422000000,-47.34
1424000000,-48.33
1426000000,-48.51
1428000000,-45.09
1430000000,-45.45
1432000000,-50.22
1434000000,-49.24
1436000000,-48.49
1438000000,-47.88
1440000000,-43.20
1442000000,-46.43
1444000000,-49.63
1446000000,-49.44
1448000000,-49.22
1450000000,-50.10
1452000000,-46.93
1454000000,-45.96
1456000000,-48.22
1458000000,-46.51
1460000000,-47.91
1462000000,-48.14
1464000000,-49.63
1466000000,-45.52
1468000000,-48.45
1470000000,-47.34
1472000000,-45.73
1474000000,-46.33
1476000000,-44.38
1478000000,-39.04
1480000000,-33.51
1482000000,-36.03
1484000000,-41.91
1486000000,-46.45
1488000000,-48.47
1490000000,-47.47
1492000000,-46.17
1494000000,-48.10
1496000000,-47.88
1498000000,-46.92
1500000000,-49.62
Trace Name,Trace B
Trace Type,Blank
Trace Name,Trace C
Trace Type,Blank
Trace Name,Trace D
Trace Type,Blank
